z_mean,z_std,grp_mean,grp_std,row_mean,row_std,x_mean,x_std,av_ionrad_mean,av_ionrad_std,atom_rad_mean,atom_rad_std,atom_mass_mean,atom_mass_std,cal_atom_rad_mean,cal_atom_rad_std,cov_rad_mean,cov_rad_std,bp_mean,bp_std,rho_mean,rho_std,mp_mean,mp_std,mol_vol_mean,mol_vol_std,k_mean,k_std,vdw_mean,vdw_std,iupac_mean,iupac_std,val_mean,val_std,heat_fus_mean,heat_fus_std,heat_vap_mean,heat_vap_std,spec_heat_mean,spec_heat_std,ea_mean,ea_std,ie_mean,ie_std,p_mean,p_std,pet_mn_mean,pet_mn_std,mn_mean,mn_std,rsp_mean,rsp_std,av_rsp_mean,av_rsp_std,gtf,of,rho,Ehull,Ef,Eg
42.4,19.61224108,14.4,3.555277767,4.4,0.8,2.466,0.608657539,0.967,0.183368481,1.35,0.291547595,99.98806,53.02279562,1.188,0.303736728,1.274,0.099518842,1175.2,1122.111296,5.8168,3.534112754,637.08,599.2068571,16.73,4.920918613,25.272,32.6272073,1.99,0.228997817,88.2,15.02531198,4.2,0.979795897,0.0733488,0.03539665,1.1528608,1.361659757,0.68398,0.338003156,2.0883528,1.561914634,9.890406,2.423043496,5.03,2.43815504,86.6,14.96128337,83.2,15.90471628,1.589,0.478062757,0.7945,0.239031379,0.902620177,0.966024915,5.907,0.018,-0.529,0
27.8,12.49639948,13,6.196773354,3.6,0.8,2.334,0.810372754,0.8618,0.051324068,1.24,0.12,63.2752,28.44175516,1.17,0.29826163,1.224,0.032,1017.6,882.8224284,3.1598,1.698526467,310.8,72.87633937,16.832,3.63110121,22.872,33.01636346,1.848,0.016,78,34.47317798,3.8,1.6,0.05385128,0.011416776,0.9270128,1.012620636,1.35658,1.128993037,2.2277626,1.392366781,9.36649,3.003494318,8.314,8.230661213,77.4,33.35625878,72,36.41977485,1.381,0.223302485,0.6905,0.111651243,0.767359337,0.860702152,3.63,0,-1.099,2.937
38.4,8.380930736,13.2,6.209669879,4.4,0.8,2.336,0.856098125,1.0458,0.38459818,1.46,0.571314274,89.05149,22.10672536,1.41,0.794128453,1.472,0.486226285,1006.6,1069.788689,3.3124,1.114289119,462.078,374.9173289,28.782,21.21314724,19.272,24.65357289,2.218,0.614309368,78.2,36.1353013,4,1.549193338,0.10627288,0.112576098,0.9166528,1.287023663,0.68106,0.327041347,2.3590204,1.25365836,9.446946,3.163458679,14.928,22.27672723,77.2,35.02227862,73.8,34.95368364,1.894,1.216019737,0.947,0.608009868,1.151989451,0.87202718,3.986,0,-1.13,1.477
34.8,1.6,13.2,6.209669879,4.2,0.4,2.342,0.845278652,1.0158,0.325059625,1.47,0.59126982,79.56396,4.077828599,1.344,0.663945781,1.424,0.390773592,1010,1069.611331,3.243,1.208247326,464.252,374.0108378,25.746,15.1948486,23.672,28.85212394,2.138,0.457226421,78.4,35.74129265,4,1.549193338,0.10648008,0.112421007,0.9311568,1.284490005,0.70546,0.29649849,2.3618792,1.24936008,9.503592,3.064504888,12.504,17.43727226,77.4,34.62715697,73.6,35.34741858,1.852,1.132614674,0.926,0.566307337,1.087823681,0.87202718,3.557,0,-1.098,1.994
48,17.77638883,12.8,6.209669879,4.8,0.979795897,2.334,0.856868718,1.1408,0.362786108,1.51,0.561604843,114.64149,47.62519972,1.502,0.796904009,1.472,0.486226285,513.976,244.0082669,4.9546,4.316542394,266.662,21.29882288,28.874,21.1481324,8.932,13.89985669,2.106,0.672119037,76.2,36.03553801,3.6,1.743559577,0.04512816,0.0183337,0.3472672,0.238046019,0.64468,0.372046935,2.008838,1.688489531,9.954566,3.076857565,14.718,22.36401878,75.2,34.86201371,72.2,34.86201371,2.064,1.21685825,1.032,0.608429125,0.894848948,1.409966025,4.564,0.003,-1.028,1.902
34.8,9.173875953,13.2,5.810335619,4.2,0.4,2.332,0.807722725,0.9458,0.099577909,1.36,0.269072481,78.9216,23.66546903,1.264,0.414613073,1.356,0.219235034,1019.6,862.4181352,3.644,1.931223446,468.43,329.4618819,20.26,3.353350563,56.472,78.45840845,1.958,0.178706463,78.6,32.92172535,4,1.264911064,0.0605024,0.017305356,0.8897168,0.934759647,0.74118,0.282079034,2.0830628,1.57073373,9.46819,2.874644256,8.43,7.700168829,77.8,31.76413071,73.4,34.0916412,1.73,0.71526219,0.865,0.357631095,0.78468295,1.064552661,3.863,0,-1.507,3.147
40.4,6.621178143,15.2,2.227105745,4.4,0.489897949,2.47,0.600799467,0.9358,0.080198254,1.31,0.195959179,93.3882,16.53223637,1.198,0.316379519,1.292,0.112853888,876.2,783.9215267,5.064,2.418318424,364.274,131.3420386,17.62,2.785706374,35.872,44.04325438,1.812,0.120066648,90.6,11.55162326,4,1.264911064,0.05586112,0.011224504,0.7757568,0.873220156,0.66098,0.350670235,1.9330528,1.781800062,10.044318,2.392784997,5.342,2.947279423,89.6,10.36532682,86,11.13552873,1.573,0.459799957,0.7865,0.229899978,0.765288908,1.064552661,4.906,0.008,-0.793,2.223
34.6,9.49947367,13,6.196773354,4.2,0.4,2.296,0.868046082,1.0218,0.250076308,1.44,0.410365691,76.92566,27.03790895,1.362,0.58550491,1.41,0.321496501,874.6,783.5936702,3.5052,2.09475062,312.736,64.60246887,24.208,10.97697663,36.472,44.88431637,2.046,0.353361005,77.4,35.24542524,3.8,1.6,0.04763528,0.015552758,0.7278936,0.864155564,0.76638,0.276686952,2.1784468,1.452893152,9.11369,3.338409332,12.55,15.67159851,76.6,34.10337227,72.6,35.65164793,1.868,0.968656802,0.934,0.484328401,0.932077672,1.064552661,3.536,0,-1.205,2.278
33.2,11.90630085,13.2,5.810335619,4,0.632455532,2.394,0.708959801,0.8898,0.026633813,1.3,0.184390889,75.767,29.06772214,1.166,0.278969532,1.286,0.105375519,940.8,807.7057385,3.6816,1.891510042,430.03,254.532504,17.82,2.464175318,48.472,64.15040028,1.842,0.064,78.8,32.53551905,4,1.264911064,0.06083392,0.01784549,0.8337728,0.897871597,0.81898,0.294339827,1.9952328,1.691052704,9.774806,2.565584013,5.99,3.602970996,89.2,10.94349122,85.6,11.72348071,1.536,0.411562875,0.768,0.205781437,0.676076314,1.064552661,4.155,0.011,-1.163,2.06
35.8,7.652450588,14.2,3.919183588,4.2,0.4,2.442,0.63857341,0.8474,0.102114837,1.28,0.166132477,81.89361,19.09184808,1.198,0.316379519,1.282,0.100876162,1135,983.4762834,4.828,2.092476045,549.23,489.0249519,16.49,4.827935377,18.032,32.12201139,1.986,0.234059821,87.8,15.87954659,4.4,0.8,0.07015792,0.034821833,1.0243968,1.067339954,0.71078,0.29994027,2.0743448,1.582213859,9.732362,2.601944852,5.75,3.316474031,86.6,15.2,82.4,17.05989449,1.574,0.461198439,0.787,0.230599219,0.593845574,1.064552661,4.557,0.004,-0.752,1.626
